id,lang,question,answer,tags
FAQ::CTF::TOOL,it,Posso usare una chiodatrice qualsiasi per i connettori CTF?,No. I CTF si fissano a freddo esclusivamente con SPIT P560 + kit/adattatori Tecnaria e 2 chiodi HSBR14 per connettore; propulsori selezionati in base al supporto.,ctf p560 chiodatrice hsbr14 propulsori lamiera trave
FAQ::CTF::DECK_CHECK,it,CTF su lamiera grecata: servono controlli in cantiere?,Sì: verifica aderenza lamiera/trave, spessore minimo acciaio trave ≥6 mm; con lamiera è ammesso 1×1,5 mm o 2×1,0 mm ben aderenti. Prova di sparo iniziale e controllo periodico.,ctf lamiera grecata controlli spessori trave acciaio
FAQ::CTF::WHAT,en,What are Tecnaria CTF connectors?,Shear connectors for steel–concrete composite slabs on steel beams and/or trapezoidal decking. Installed with SPIT P560 and HSBR14 nails (two per connector).,ctf connectors shear composite steel decking english
FAQ::CTF::TOOL_ANY,en,Can I install CTF with any powder-actuated tool?,No. Only SPIT P560 with Tecnaria dedicated accessories; each connector requires two HSBR14 nails and proper cartridges.,ctf p560 tool powder actuated english
FAQ::P560::WHAT,it,P560: è un connettore o un'attrezzatura?,È un'attrezzatura (chiodatrice a polvere SPIT P560) per fissare i connettori CTF con chiodi HSBR14; usa propulsori dosati e accessori dedicati Tecnaria.,p560 spit attrezzatura utensile chiodatrice hsbr14
FAQ::P560::CARTRIDGES,it,Che propulsori si usano con la P560?,Propulsori SPIT P560 selezionati in funzione del supporto (trave piena, con lamiera, spessori); si parte da livello intermedio e si regola con prove.,p560 propulsori cartucce regolazione prova
FAQ::CTL::THICKNESS,it,Spessore soletta minimo con CTL?,Tipicamente ≥50 mm (calcestruzzo C25/30 o leggero strutturale) con rete a metà spessore; verifiche da progetto secondo scheda Tecnaria.,ctl soletta spessore rete calcestruzzo
FAQ::CTL::MAXI_5CM,it,CTL MAXI su tavolato 2 cm e soletta 5 cm: quale modello?,CTL MAXI 12/040 con 2 viti Ø10 (100 mm; se interposto/tavolato >25–30 mm usare 120 mm). Testa sopra la rete ma sotto il filo superiore del getto.,ctl maxi 12/040 tavolato 2cm soletta 5cm viti 10x100
FAQ::CTL::WHEN,en,When should I choose CTL instead of CEM-E?,Choose CTL for timber–concrete composite floors on wood beams/boards; CEM-E is for hollow-block (laterocemento) retrofits.,ctl vs cem-e choose english
FAQ::CEME::DRYPOSE,it,CEM-E: è una posa a secco?,Sì: fissaggio meccanico senza resine su laterocemento; incisione del copriferro dove necessario e serraggio a battuta secondo istruzioni.,cem-e secco dry posa laterocemento
FAQ::CTCEM::RESIN,it,I connettori CTCEM usano resine?,No: i CTCEM sono meccanici (“a secco”). Si incide per alloggiare la piastra dentata, preforo Ø11 mm ~75 mm, pulizia e avvitatura fino a battuta.,ctcem resine no meccanico foro 11 laterocemento
FAQ::VCEM::HARDWOOD,it,VCEM su essenze dure: serve preforo 70–80%?,Sì: su legni duri è richiesto un preforo pari al 70–80% del diametro; profondità secondo scheda prodotto. Attenersi ai valori di coppia.,vcem essenze dure preforo 70-80 legno duro
FAQ::VCEM::PREDRILL,en,VCEM on hardwoods: is pre-drilling required?,Yes. Pre-drill 70–80% of diameter on hard woods; follow the torque and depth values from the product sheet.,vcem hardwood predrill english
FAQ::GTS::WHAT,it,GTS: che cos’è e come si usa?,Sistema di giunzione a manicotto filettato per barre; montaggio a secco, controllo coppia di serraggio, impieghi in rinforzi e collegamenti.,gts manicotto filettato giunzione secco
FAQ::CTF::LAMIERA_CANTIERE,it,Che prove faccio al primo utilizzo CTF in cantiere?,Esecuzione di 3–5 spari di taratura su zona prova per regolare propulsore; verifica infissione dei due chiodi e assenza di distacchi/bozzature.,ctf prova taratura propulsore cantiere
FAQ::CTL::FISSAGGI_VITI,it,Che viti si usano con i CTL?,Viti Ø10 (100/120/140 mm) in funzione degli spessori interposti; due per connettore secondo schema Tecnaria.,ctl viti diametro 10 100 120 140
FAQ::CEME::VS_CTCEM,it,Differenza tra CEM-E e CTCEM?,Entrambi per laterocemento a secco: CEM-E a staffa/cappello, CTCEM con piolo a piastra dentata e preforo Ø11 mm; scelta secondo travetti, copriferro e accessibilità.,cem-e ctcem differenza laterocemento secco
FAQ::CTF::ETA,it,I CTF hanno marcature/ETA?,Riferimenti in ETA e schede Tecnaria; posa con P560 e HSBR14 come da manuale; controlli documentati in cantiere.,ctf eta marcatura istruzioni
FAQ::P560::SAFETY,it,Sicurezza con P560?,Usare DPI, protezioni udito/occhi, rispettare distanze da bordi e operatori; seguire istruzioni SPIT/Tecnaria incluse nella valigetta.,p560 sicurezza dpi istruzioni
FAQ::CTL::OVERVIEW,it,A cosa servono i CTL?,Connettori per solai legno-calcestruzzo; aumentano rigidezza e portanza, riducono vibrazioni e fessurazioni, posa dall’alto con viti Ø10.,ctl overview legno calcestruzzo composito
FAQ::CEME::OVERVIEW,it,A cosa serve CEM-E?,Sistema meccanico a secco per mettere in collaborazione solette e travetti in laterocemento senza resine; rapido, controllabile, reversibile.,cem-e overview laterocemento secco
FAQ::CTCEM::OVERVIEW,it,A cosa serve CTCEM?,Piolo a vite con piastra dentata per laterocemento; ancoraggio meccanico con preforo 11 mm, pulizia foro e serraggio a battuta.,ctcem overview laterocemento meccanico
